Playlist,Source File,Source Row,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
Dub Techno,dub_techno.csv,2,spotify:track:6JldGnspZOA5cCgsYNgcxS,Juxtaposition,spotify:artist:36Tv6NKXzENSLi72SfVrax,Schulz Audio,spotify:album:2Rs47x4FwyMKLhQnpViNNi,Short Of Stable,spotify:artist:36Tv6NKXzENSLi72SfVrax,Schulz Audio,2022-10-28,https://i.scdn.co/image/ab67616d0000b273e64240588e8a83d48740ea02,1,4,287068,https://p.scdn.co/mp3-preview/25d46ee5623c9ce16960e6cebff6c6477595103c?cid=9950ac751e34487dbbe027c4fd7f8e99,false,23,LTE232200122,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:48:15Z
Dub Techno,dub_techno.csv,3,spotify:track:4J5JQ3xfGZGkxa78b1x9Dn,Dawn,spotify:artist:7iVGJlT8IYlQC9o21K77sP,Faserklang,spotify:album:45QVsvEWNzwrE4cQiA6Lb3,Nu Ways,spotify:artist:7iVGJlT8IYlQC9o21K77sP,Faserklang,2022-02-25,https://i.scdn.co/image/ab67616d0000b273c69ed066e809ec5f04324fdb,1,3,452000,https://p.scdn.co/mp3-preview/65635e9301ce860a6035b000a79c0829a21a7dd0?cid=9950ac751e34487dbbe027c4fd7f8e99,false,13,DEH742202163,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:48:48Z
Dub Techno,dub_techno.csv,4,spotify:track:0bMrTtCFkVat3wWJnwTi7N,Slunce Radar,spotify:artist:2e191JMg4nwiwIYoaBwEFo,Sraunus,spotify:album:5DBiqqcVqPnxLxAbc34nZv,Ruodo EP,spotify:artist:2e191JMg4nwiwIYoaBwEFo,Sraunus,2019-08-19,https://i.scdn.co/image/ab67616d0000b27335cec20ec42020b5a869a423,1,2,411539,https://p.scdn.co/mp3-preview/c6fbc3185534b4dfbc950d50f012e45cccd1903a?cid=9950ac751e34487dbbe027c4fd7f8e99,false,19,GBKQU1967408,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:48:56Z
Dub Techno,dub_techno.csv,5,spotify:track:5DfD84cySPpbRdmoxEwQnc,Smoke Spring,spotify:artist:38zfjwWSt5995vjlOcQ0ed,Mr. Cloudy,spotify:album:3HznjMN5yZv1UvKK4nJipe,Cloudy Tracks 2,spotify:artist:38zfjwWSt5995vjlOcQ0ed,Mr. Cloudy,2016-01-12,https://i.scdn.co/image/ab67616d0000b273e66b86842c23207be40865d7,1,1,233748,https://p.scdn.co/mp3-preview/c902d628333d8fbe6f63ac48752df062896fb68b?cid=9950ac751e34487dbbe027c4fd7f8e99,false,20,BGA471533309,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:49:04Z
Dub Techno,dub_techno.csv,6,spotify:track:7uNXqZVr44M0Af8LjWSzsz,Dry Breakfasts,spotify:artist:38zfjwWSt5995vjlOcQ0ed,Mr. Cloudy,spotify:album:3HznjMN5yZv1UvKK4nJipe,Cloudy Tracks 2,spotify:artist:38zfjwWSt5995vjlOcQ0ed,Mr. Cloudy,2016-01-12,https://i.scdn.co/image/ab67616d0000b273e66b86842c23207be40865d7,1,5,314000,https://p.scdn.co/mp3-preview/869c72feaae12422192f74daf269f1b83ab070b7?cid=9950ac751e34487dbbe027c4fd7f8e99,false,1,BGA471533313,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:49:41Z
Dub Techno,dub_techno.csv,7,spotify:track:02YDN7TtUApAa10RwtWB1A,White Rain,spotify:artist:38zfjwWSt5995vjlOcQ0ed,Mr. Cloudy,spotify:album:3HznjMN5yZv1UvKK4nJipe,Cloudy Tracks 2,spotify:artist:38zfjwWSt5995vjlOcQ0ed,Mr. Cloudy,2016-01-12,https://i.scdn.co/image/ab67616d0000b273e66b86842c23207be40865d7,1,8,418284,https://p.scdn.co/mp3-preview/6b3b593cdafe9c31c484884ce4a23f0c45916604?cid=9950ac751e34487dbbe027c4fd7f8e99,false,2,BGA471533316,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:49:56Z
Dub Techno,dub_techno.csv,8,spotify:track:0LwOtv0IfyJ0kdOvsPrzL9,Chiba,spotify:artist:6GdPTOUFnELWOlpcCRvrdZ,Andreiclv,spotify:album:0RIXGeAUyFNQbGt5w7fROw,Cityscapes EP,spotify:artist:6GdPTOUFnELWOlpcCRvrdZ,Andreiclv,2015-09-14,https://i.scdn.co/image/ab67616d0000b273f57ccdd23cdfe0ef82b50e07,1,2,522240,https://p.scdn.co/mp3-preview/f52ce83722c2e4c1bb1db4f392d42d11e57937cc?cid=9950ac751e34487dbbe027c4fd7f8e99,false,22,GBKQU2053212,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:50:20Z
Dub Techno,dub_techno.csv,9,spotify:track:2yP3fR4qSkzneNISmXt00F,Food Courts,spotify:artist:6GdPTOUFnELWOlpcCRvrdZ,Andreiclv,spotify:album:0RIXGeAUyFNQbGt5w7fROw,Cityscapes EP,spotify:artist:6GdPTOUFnELWOlpcCRvrdZ,Andreiclv,2015-09-14,https://i.scdn.co/image/ab67616d0000b273f57ccdd23cdfe0ef82b50e07,1,4,312000,https://p.scdn.co/mp3-preview/638550e3850a3aaee29f99352ebba9212c264cb3?cid=9950ac751e34487dbbe027c4fd7f8e99,false,13,GBKQU2053214,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:50:33Z
Dub Techno,dub_techno.csv,10,spotify:track:4cNzR9qeeTLUYpG4KMHEmT,Silk Dub,spotify:artist:3hwmrS8MSceZwnZYvZFf97,Move D,spotify:album:4oxkaYrOOZh6b3OTGFo6n4,Compost Black Label #14,spotify:artist:3hwmrS8MSceZwnZYvZFf97,Move D,2006-10-20,https://i.scdn.co/image/ab67616d0000b273a90965da6e22392d0567fd13,1,4,305733,https://p.scdn.co/mp3-preview/88e72b53740e8fbd034faaa4c6de317536665f11?cid=9950ac751e34487dbbe027c4fd7f8e99,false,42,DEM090600122,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:50:48Z
Dub Techno,dub_techno.csv,11,spotify:track:0E3EyWoyWxvlGfzTG1typC,Vibra,spotify:artist:1MHqWkB6mHZcnRNYo6MGEu,Mathimidori,spotify:album:3ZiaeVZGPNCVSdVk2YkXCD,Echocord - 20 Years,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2021-11-26,https://i.scdn.co/image/ab67616d0000b2734daaf97d573fdf412e26fb0a,1,2,401890,https://p.scdn.co/mp3-preview/e715b17f6dd42ed4990cec2d470d5a8c0531702b?cid=9950ac751e34487dbbe027c4fd7f8e99,false,25,DEU672101800,spotify:user:31y34xgrkog23dmdfnzkikfstojq,2025-04-24T06:51:18Z
